"ID","Phase","Experiment","Stress","herbivory","soil_inocula","plant_pathway_induced","Glucosinolates","treatment","weight_mg","Glu_total","Glu_3MSOP","Glu_4MSOB","Glu_Allyl","Glu_4OHI3M","Glu_I3M","Glu_4MOI3M","Glu_1MOI3M"
"229","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",18.6,9.09472320676277,4.51828862778598,0.6852010769232,0.987536566610672,0.04722057948332,2.4906992943385,0.0821662631029761,0.28361079851812
"158","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",19.7,15.7618310719217,9.60062885297138,0.991581693113874,1.83624661930164,0.0612800322858023,3.09771350751879,0.0713044630989384,0.103075903631278
"147","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",15.7,23.7575681506083,1.14265693843546,0.136942825269007,0.477708847338324,0.0231360799959857,19.1768869269559,0.123071947513572,2.67716458510003
"159","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",23.6,0,0,0,0,0,0,0,0
"171","feedback","simulated","Aphid","aphid","non-conditioned","NA","1","control_live",14.4,19.2443537699895,3.93095950703533,0.363335777440805,1.39470808370038,0.0242170630058883,11.5938660514759,0.268927391246661,1.66833989608455
"183","feedback","simulated","Chewer","caterpillar","non-conditioned","NA","1","control_live",18.1,23.9403683007542,1.7247541868971,0.156983754157066,0.101429415384655,0.040321245384788,19.1386704714673,0.136582563831424,2.64162666363183
"195","feedback","simulated","Control","without","non-conditioned","NA","1","control_live",15.7,13.3385577650279,6.4010528413673,0.844745790301057,1.45881912438661,0.0415064732355746,4.32174955037621,0.0855894784262365,0.185094506934891
"207","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",18.9,31.2814002546733,0.957216915322687,0.0275578770576807,0.146412333916129,0.0294985645438301,27.1474389631428,0.19845018483699,2.7748254158532
"219","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",19.1,7.30914977008284,4.15369265958777,0.621497386105987,0.759672306953059,0.0307338330976935,1.62926276888508,0.0499884965718502,0.0643023188814082
"231","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",14.8,8.26689647246833,4.33375206752716,0.280769543721165,1.35254675739417,0.0338993055139205,2.15713559048209,0.0464747098529369,0.0623184979768859
"233","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",19.4,1.64796174886733,0.32551859366226,0.12512229308722,0.0676985050258481,0.00344062560246169,0.977744805988127,0.0104459251030371,0.137991000398377
"245","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",18.3,1.9660958227411,0.189287142626315,0.038468045938276,0.0354459225636208,0,1.51616688877518,0.0099523068174752,0.17677551602023
"257","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",16.8,1.56939143393561,0.473201583861398,0.084748416967893,0.0749479708644958,0.0037927411849192,0.826208712421051,0.0174965836093447,0.0889954250265069
"269","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",17,1.60450563127271,0.360249845733285,0.0483587710441263,0.0543908873647894,0.00247781777696634,1.02645311990262,0.0126085267799669,0.0999666626709592
"281","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",10.3,2.64636093874767,1.37759262809411,0.212296928972387,0.375471953947216,0,0.57115090829209,0.0251213569242817,0.0847271625175847
"293","feedback","real_insects","Aphid","aphid","non-conditioned","NA","1","control_live",17.5,1.99803157848413,0.905984497318901,0.212992865086036,0.176067396296263,0.00834047599036219,0.598857967082878,0.0144692952102588,0.0813190814994316
"305","feedback","real_insects","Chewer","caterpillar","non-conditioned","NA","1","control_live",19.3,0.915497848632853,0.225887852254242,0.0308897081908407,0.0372670848506851,0,0.526943048726517,0,0.094510154610568
"317","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",16.7,1.76774636713206,0.791567962005677,0.14665289233341,0.180451625359574,0,0.628842412943561,0.0202314744898397,0
"235","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",12.2,1.75901447847271,0.649847619972219,0.136697045219821,0.106302231541907,0.0123922944719014,0.767030694125611,0.0140926778148695,0.0726519153263869
"247","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",18.7,8.2968059080852,3.97571460648197,0.511529303128253,1.02306376844708,0.0251057880911628,2.55307189069446,0.0574364442789194,0.150884106963355
"259","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",17.9,2.49668734978245,0.814701885938933,0.307436820766445,0.109634878585886,0.00669539686807769,1.13331927668474,0.0226040578912046,0.102295033047163
"271","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",17.8,3.28339543831785,0.486518443422434,0.069994864217996,0.0363847817273526,0.00568622173302362,2.48043493707899,0.0243024499174253,0.180073740220632
"283","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",15.4,1.79674228282896,0.935770317407624,0.230104501804975,0.164373756217386,0.00373596437745413,0.404033580232139,0.015511498773962,0.043212664015418
"295","feedback","real_insects","Aphid","aphid","non-conditioned","NA","1","control_live",16.1,2.04296827068706,0.978353458642276,0.218574926864684,0.317933898164024,0.00732494371075613,0.461345548128915,0.0221731158943756,0.0372623792820337
"307","feedback","real_insects","Control","without","non-conditioned","NA","1","control_live",15.7,8.65974826893641,4.50250268506759,1.18047233974471,1.29974765012808,0.0172355131603269,1.5287861380124,0.0727358995348841,0.0582680432884367
"319","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",11.5,7.23733528033181,4.26089564836267,0.680771909988741,0.834552010818293,0.0086383884380278,1.34592277418148,0.0386249599091871,0.067929588633412
"237","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",18.4,18.4762973291501,0.196650016497624,0.0566730681670773,0,0.0121420856947975,15.3971918392841,0.0724949228078613,2.74114539669864
"249","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",15.1,13.006956127509,6.23197450442081,1.32898303679356,1.60755549760672,0.0508143615170827,3.60586708941813,0.0709313174753483,0.110830320277329
"261","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",19.2,2.93351047125222,1.25264208217371,0.379186465624299,0.2484851023956,0.00864073741836594,0.959109426177464,0.0279372172335969,0.0575094402291801
"273","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",15.8,6.42333570215617,0.994091528888905,0.165742969799711,0.0642020605561392,0.00548133277829658,4.74468165200621,0.0450240151458412,0.404112142981065
"285","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",13.3,7.86533070861943,3.79939656667164,0.867413196715603,1.04246514824626,0,1.96071300072182,0.0731352561116057,0.122207540152504
"297","feedback","real_insects","Chewer","caterpillar","non-conditioned","NA","1","control_live",15.5,17.2484441220224,1.9770026700407,0.181952255468601,0.236670129223575,0.00664755395824966,13.6554686278263,0.12013821137465,1.07056467413035
"309","feedback","real_insects","Control","without","non-conditioned","NA","1","control_live",18.4,20.61475289981,10.5568127912454,3.29606829668086,2.76040355964002,0.0621098805018526,3.67734859855679,0.189536721544763,0.0724730516403504
"321","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",14,7.93501682086977,3.69072724489427,0.590636526096914,0.786918923762211,0.00511767280883365,2.42654390802674,0.350540449122982,0.0845320961578262
"239","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",16.9,21.5851824680359,1.19276307226247,0.190921799497849,0.28404335792901,0.0231332648525663,17.433453978356,0.130363585410227,2.33050340972772
"251","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",12,8.7106851699821,3.54992540588867,0.463288082895665,1.38677424613377,0.0141360771018253,3.01530661409683,0.169413859880163,0.111840883985181
"263","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",16.5,14.0884958404675,2.74797597394793,0.312335505642749,0,0.0117172544624034,10.2231406913922,0.0908888862698434,0.702437528752347
"275","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",18.6,13.3905449611559,1.00849486273699,0.0605282771588764,0.0284824331494952,0.011175072170446,10.9740009375793,0.0611037354549526,1.24675964290583
