"","distance","plant_pathway_induced","sample_name","Experiment","NMDS1","NMDS2","NMDS1_centroid","NMDS2_centroid"
"72","bray","control","107_ch_ITS","cond_real_insects",0.0270723008595552,0.0895028745592183,0.014164666337348,-0.00717904614573262
"73","bray","control","86_ch_ITS","cond_real_insects",0.241246664990385,-0.196910750906867,0.014164666337348,-0.00717904614573262
"74","bray","control","132_ch_ITS","cond_real_insects",0.0173175244918054,-0.000199961095278416,0.014164666337348,-0.00717904614573262
"75","bray","control","102_ch_ITS","cond_real_insects",0.00581772053391983,-0.190588681121885,0.014164666337348,-0.00717904614573262
"76","bray","JA","91_ch_ITS","cond_real_insects",0.195189780763728,0.112112024864449,0.0170790367122325,0.0033237086448725
"77","bray","JA","97_ch_ITS","cond_real_insects",0.0729788758718623,0.222797469817369,0.0170790367122325,0.0033237086448725
"78","bray","JA","116_ch_ITS","cond_real_insects",0.107232444407779,-0.0692734519786695,0.0170790367122325,0.0033237086448725
"79","bray","JA","90_ch_ITS","cond_real_insects",0.421576792977603,0.0430007014689211,0.0170790367122325,0.0033237086448725
"80","bray","JA","100_ch_ITS","cond_real_insects",0.0190924928302432,0.2033559243531,0.0170790367122325,0.0033237086448725
"81","bray","JA","131_ch_ITS","cond_real_insects",-0.13591024957856,-0.00824757446253478,0.0170790367122325,0.0033237086448725
"82","bray","JA","111_ch_ITS","cond_real_insects",-0.219639844339063,0.233621082817803,0.0170790367122325,0.0033237086448725
"83","bray","JA","85_ch_ITS","cond_real_insects",0.108384757184838,-0.164646203009967,0.0170790367122325,0.0033237086448725
"84","bray","JA","103_ch_ITS","cond_real_insects",-0.107603842446805,-0.153543943969343,0.0170790367122325,0.0033237086448725
"85","bray","JA","106_ch_ITS","cond_real_insects",-0.0517162123967641,-0.112506843908181,0.0170790367122325,0.0033237086448725
"86","bray","JA","128_ch_ITS","cond_real_insects",0.0632188960291589,-0.0132030882463615,0.0170790367122325,0.0033237086448725
"87","bray","JA","120_ch_ITS","cond_real_insects",-0.0145388802236709,-0.0475570146555964,0.0170790367122325,0.0033237086448725
"88","bray","JA","124_ch_ITS","cond_real_insects",-0.356824701477056,0.0806570463302135,0.0170790367122325,0.0033237086448725
"89","bray","JA","113_ch_ITS","cond_real_insects",0.137666204367962,-0.280034208392986,0.0170790367122325,0.0033237086448725
"90","bray","SA","125_ch_ITS","cond_real_insects",-0.264516963283778,-0.179700690977619,-0.0301051006020984,0.00407691807718495
"91","bray","SA","114_ch_ITS","cond_real_insects",0.0232631282962493,0.0327764946309963,-0.0301051006020984,0.00407691807718495
"92","bray","SA","115_ch_ITS","cond_real_insects",-0.238290499496891,0.13960089769635,-0.0301051006020984,0.00407691807718495
